country,zip,primary_city,state_name,state,county,county_code,a,b,latitude,longitude,accuracy,country_name
IT,"67053","Pescocanale Di Capistrello","Abruzzi","AB","L'Aquila","AQ","","","41.9947","13.3745","3",Italy
IT,"67053","Capistrello","Abruzzi","AB","L'Aquila","AQ","","","41.9727","13.3991","4",Italy
IT,"67053","Corcumello","Abruzzi","AB","L'Aquila","AQ","","","42.0167","13.35","4",Italy
IT,"67053","Pescocanale","Abruzzi","AB","L'Aquila","AQ","","","41.9947","13.3745","3",Italy
IT,"67054","Civitella Roveto","Abruzzi","AB","L'Aquila","AQ","","","41.916","13.4269","4",Italy
IT,"67054","Meta","Abruzzi","AB","L'Aquila","AQ","","","41.916","13.4269","3",Italy
IT,"67055","Gioia Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","41.9578","13.6899","4",Italy
IT,"67055","Casali D'Aschi","Abruzzi","AB","L'Aquila","AQ","","","41.9578","13.6899","3",Italy
IT,"67056","Luco Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","41.957","13.4736","4",Italy
IT,"67057","Venere","Abruzzi","AB","L'Aquila","AQ","","","42.0235","13.6512","3",Italy
IT,"67057","Pescina","Abruzzi","AB","L'Aquila","AQ","","","42.0235","13.6512","4",Italy
IT,"67058","San Benedetto Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","42.0082","13.6227","4",Italy
IT,"67059","Trasacco","Abruzzi","AB","L'Aquila","AQ","","","41.9569","13.5345","4",Italy
IT,"67060","Cappadocia","Abruzzi","AB","L'Aquila","AQ","","","42.0065","13.28","4",Italy
IT,"67060","Verrecchie","Abruzzi","AB","L'Aquila","AQ","","","42.0333","13.2333","4",Italy
IT,"67060","Petrella Liri","Abruzzi","AB","L'Aquila","AQ","","","42.0167","13.2833","4",Italy
IT,"67061","Montesabinese","Abruzzi","AB","L'Aquila","AQ","","","42.1001","13.0821","3",Italy
IT,"67061","Carsoli","Abruzzi","AB","L'Aquila","AQ","","","42.0989","13.0849","4",Italy
IT,"67061","Poggio Cinolfo","Abruzzi","AB","L'Aquila","AQ","","","42.1","13.0333","4",Italy
IT,"67061","Villa Romana","Abruzzi","AB","L'Aquila","AQ","","","42.0667","13.0833","4",Italy
IT,"67061","Tufo Di Carsoli","Abruzzi","AB","L'Aquila","AQ","","","42.1001","13.0821","3",Italy
IT,"67061","Colli Di Montebove","Abruzzi","AB","L'Aquila","AQ","","","42.1001","13.0821","3",Italy
IT,"67061","Pietrasecca","Abruzzi","AB","L'Aquila","AQ","","","42.1349","13.1268","4",Italy
IT,"67062","Rosciolo","Abruzzi","AB","L'Aquila","AQ","","","42.1167","13.3333","4",Italy
IT,"67062","Magliano De' Marsi","Abruzzi","AB","L'Aquila","AQ","","","42.0915","13.3638","4",Italy
IT,"67062","Marano Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","42.1041","13.3486","3",Italy
IT,"67062","Rosciolo Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","42.1041","13.3486","3",Italy
IT,"67063","Oricola","Abruzzi","AB","L'Aquila","AQ","","","42.0492","13.0394","4",Italy
IT,"67063","Civita","Abruzzi","AB","L'Aquila","AQ","","","42.3","13.4333","4",Italy
IT,"67064","Pereto","Abruzzi","AB","L'Aquila","AQ","","","42.0589","13.1014","4",Italy
IT,"67066","Rocca Di Botte","Abruzzi","AB","L'Aquila","AQ","","","42.0262","13.0677","4",Italy
IT,"67067","Scanzano","Abruzzi","AB","L'Aquila","AQ","","","42.1","13.2333","4",Italy
IT,"67067","Santo Stefano","Abruzzi","AB","L'Aquila","AQ","","","42.1226","13.2255","4",Italy
IT,"67067","Sante Marie","Abruzzi","AB","L'Aquila","AQ","","","42.1035","13.2006","4",Italy
IT,"67067","Santo Stefano Di Sante Marie","Abruzzi","AB","L'Aquila","AQ","","","42.1226","13.2255","4",Italy
IT,"67068","Scurcola Marsicana","Abruzzi","AB","L'Aquila","AQ","","","42.0631","13.3392","4",Italy
IT,"67068","Cappelle Dei Marsi","Abruzzi","AB","L'Aquila","AQ","","","42.0566","13.3529","3",Italy
IT,"67068","Cappelle","Abruzzi","AB","L'Aquila","AQ","","","42.05","13.3667","4",Italy
IT,"67069","San Donato","Abruzzi","AB","L'Aquila","AQ","","","42.0833","13.2667","4",Italy
IT,"67069","San Donato Di Tagliacozzo","Abruzzi","AB","L'Aquila","AQ","","","42.0833","13.2667","4",Italy
IT,"67069","Sorbo Di Tagliacozzo","Abruzzi","AB","L'Aquila","AQ","","","42.0667","13.3","4",Italy
IT,"67069","Tagliacozzo","Abruzzi","AB","L'Aquila","AQ","","","42.0693","13.2547","4",Italy
IT,"67069","Tremonti","Abruzzi","AB","L'Aquila","AQ","","","42.0833","13.1833","4",Italy
IT,"67069","Gallo Di Tagliacozzo","Abruzzi","AB","L'Aquila","AQ","","","42.0833","13.25","4",Italy
IT,"67069","Poggio Filippo","Abruzzi","AB","L'Aquila","AQ","","","42.0833","13.3","4",Italy
IT,"67069","Sorbo","Abruzzi","AB","L'Aquila","AQ","","","42.0667","13.3","4",Italy
IT,"67069","Poggetello Di Tagliacozzo","Abruzzi","AB","L'Aquila","AQ","","","42.073","13.2625","3",Italy
IT,"67069","Poggetello","Abruzzi","AB","L'Aquila","AQ","","","42.0833","13.2167","4",Italy
IT,"67069","Villa San Sebastiano","Abruzzi","AB","L'Aquila","AQ","","","42.0167","13.3","4",Italy
